feature,importance
punct_diversity,0.212146
ellipsis_rate,0.10603977
n_sentences,0.078072295
avg_word_len,0.058547486
url_token_count,0.039981052
uppercase_ratio,0.03761489
dash_rate,0.034612007
std_sent_len_words,0.027023219
question_rate,0.024167147
comma_rate,0.02271289
func_density,0.022173595
pos_adv,0.021215964
n_chars,0.020093892
pron_density,0.015225234
colon_rate,0.015147236
prep_density,0.014945631
ttr,0.01434389
yule_k,0.013029095
avg_sent_len_words,0.012685912
posbigram_verb_adp,0.012029654
pos_cconj,0.011587563
pos_num,0.010791219
posbigram_adj_noun,0.0104539925
pos_punct,0.010283086
exclamation_rate,0.010103449
llm_connective_count,0.009791715
pos_pron,0.009561892
pos_verb,0.009344049
pos_sconj,0.009320701
n_words,0.009153385
