model,feature_set,n_features,train_time_s,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
logreg,handcrafted,44,2.7,0.8655,0.8459,0.8938,0.8692,0.9333
random_forest,handcrafted,44,1.8,0.9613,0.9555,0.9677,0.9616,0.9939
xgboost,handcrafted,44,0.7,0.9711,0.9636,0.9792,0.9714,0.9967
logreg,tfidf_word,10000,0.1,0.9809,0.9793,0.9827,0.981,0.9982
random_forest,tfidf_word,10000,18.8,0.9827,0.986,0.9792,0.9826,0.9983
xgboost,tfidf_word,10000,35.4,0.9838,0.9861,0.9815,0.9838,0.9985
logreg,tfidf_char,10000,2.8,0.9815,0.9826,0.9804,0.9815,0.9984
random_forest,tfidf_char,10000,14.9,0.9804,0.9717,0.9896,0.9805,0.9985
xgboost,tfidf_char,10000,137.7,0.9902,0.9863,0.9942,0.9902,0.9991
logreg,hc_plus_word,10044,9.1,0.9567,0.938,0.9781,0.9576,0.9937
random_forest,hc_plus_word,10044,14.5,0.9879,0.9907,0.985,0.9878,0.9991
xgboost,hc_plus_word,10044,47.3,0.9913,0.9896,0.9931,0.9914,0.9996
logreg,hc_plus_char,10044,41.1,0.9613,0.9454,0.9792,0.962,0.9952
random_forest,hc_plus_char,10044,12.1,0.9833,0.9772,0.9896,0.9834,0.9988
xgboost,hc_plus_char,10044,113.5,0.9931,0.9919,0.9942,0.9931,0.9997
logreg,hc_plus_word_char,20044,49.0,0.9763,0.9651,0.9885,0.9766,0.9982
random_forest,hc_plus_word_char,20044,19.7,0.9838,0.9794,0.9885,0.9839,0.9988
xgboost,hc_plus_word_char,20044,177.7,0.9931,0.9931,0.9931,0.9931,0.9997
