model,split,accuracy,balanced_accuracy,roc_auc,avg_precision,f1,precision,recall,llm_predicted_rate
lr_dense_tfidf,val,0.9186991869918699,0.9186991869918699,0.9637650639759775,0.9397673805254869,0.9204052098408104,0.9014883061658399,0.9401330376940134,
lr_dense_tfidf,test_seen,0.9168502202643172,0.9168502202643172,0.9720448679384426,0.9693583007064004,0.9190348525469169,0.8955067920585162,0.9438325991189427,
lr_dense_tfidf,test_claude_holdout,0.6318601262748907,0.6318601262748907,,,0.7744047619047619,1.0,0.6318601262748907,0.6318601262748907
lr_dense_only,val,0.9065040650406504,0.9065040650406504,0.9554394193407769,0.9317342895452606,0.9081669691470055,0.8922967189728959,0.9246119733924612,
lr_dense_only,test_seen,0.9052863436123348,0.9052863436123348,0.9674248966601331,0.9642516779717794,0.9071274298056156,0.8898305084745762,0.9251101321585903,
lr_dense_only,test_claude_holdout,0.4706168042739194,0.4706168042739194,,,0.6400264200792602,1.0,0.4706168042739194,0.4706168042739194
rf_dense,val,0.9571322985957132,0.9571322985957131,0.9933366437070942,0.9927645728403147,0.9568452380952381,0.9632958801498127,0.950480413895048,
rf_dense,test_seen,0.9708149779735683,0.9708149779735683,0.9937753498030235,0.9944740320359565,0.9708310401761144,0.9702970297029703,0.9713656387665198,
rf_dense,test_claude_holdout,0.5541525012141817,0.5541525012141817,,,0.713125,1.0,0.5541525012141817,0.5541525012141817
xgb_dense,val,0.9708056171470806,0.9708056171470806,0.9964612869269188,0.9966201207808214,0.9707081942899518,0.9739583333333334,0.967479674796748,
xgb_dense,test_seen,0.9752202643171806,0.9752202643171806,0.9977367113664151,0.9978447593114488,0.9751518498067366,0.9778516057585825,0.9724669603524229,
xgb_dense,test_claude_holdout,0.6498300145701797,0.6498300145701797,,,0.7877539005004416,1.0,0.6498300145701797,0.6498300145701797
lr_dense_tfidf,test_full_aggregate,0.7654193548387097,0.8086009244122945,0.9128281878935545,0.9649735508687527,0.8260287081339713,0.9557130203720107,0.7273340074148972,
lr_dense_only,test_full_aggregate,0.6743225806451613,0.7475846647928981,0.8573786690304064,0.9477033037581453,0.7413934426229508,0.9456351280710925,0.6097067745197169,
rf_dense,test_full_aggregate,0.7494193548387097,0.8260489095171706,0.9305187458519486,0.9779452399378987,0.8064580426549731,0.9868292682926829,0.6818335018537243,
xgb_dense,test_full_aggregate,0.8023225806451613,0.8632705724793581,0.9603004562671025,0.9875251513651453,0.8529185867895546,0.9910754127621597,0.7485675766767779,
