generator_lane,scenario_family,test,train,val
(none),advance_fee_scam_email,160,1200,240
(none),financial_qa,164,1198,238
(none),fraud_sms_deceptive,86,639,127
(none),legitimate_email,200,1500,300
(none),legitimate_sms,80,589,117
(none),phishing_email,300,2250,450
holdout_claude,advance_fee_scam_email,400,0,0
holdout_claude,fraud_sms_deceptive,213,0,0
holdout_claude,legitimate_email,500,0,0
holdout_claude,legitimate_sms,196,0,0
holdout_claude,phishing_email,750,0,0
seen_mistral,advance_fee_scam_email,63,469,94
seen_mistral,fraud_sms_deceptive,35,262,52
seen_mistral,legitimate_email,82,613,123
seen_mistral,legitimate_sms,32,232,46
seen_mistral,phishing_email,121,901,180
seen_openai,advance_fee_scam_email,97,731,146
seen_openai,fraud_sms_deceptive,51,377,75
seen_openai,legitimate_email,118,887,177
seen_openai,legitimate_sms,48,357,71
seen_openai,phishing_email,179,1349,270
