feature,r_pointbiserial,p
hc_pos_verb_ratio,0.41578196654681054,0.0
hc_pos_noun_ratio,-0.3832081704719082,0.0
hc_stopword_ratio,0.3771635483596536,0.0
hc_pos_pron_ratio,0.3465132639639099,0.0
hc_pos_aux_ratio,0.3294246578718,0.0
hc_punct_paren_ratio,-0.2983557416243978,1.0121066840332227e-276
hc_punct_colon_ratio,-0.26589570554419606,4.3029136271010675e-218
hc_digit_ratio,-0.2546040341643057,1.604851384275934e-199
hc_pos_num_ratio,-0.2530789263023656,4.400257224147312e-197
hc_pos_adv_ratio,0.2522401421870012,9.49026230037611e-196
hc_std_sentence_len,-0.247535634525542,2.3193821338267677e-188
hc_pos_punct_ratio,-0.20940533819726712,3.604030360360041e-134
hc_fw_do,0.1991033370095207,3.182260055880031e-121
hc_punct_dash_ratio,-0.19233866783781348,4.174376867970227e-113
hc_avg_sentence_len_words,-0.1849561288293281,1.3706139284395356e-104
hc_avg_sentence_len_chars,-0.17980309915649603,7.426437386567642e-99
hc_std_word_len,-0.16739543538070573,9.406161883377702e-86
hc_n_tokens,-0.1669213362543354,2.847566008274231e-85
hc_pos_part_ratio,0.16612364127660822,1.8224018232659054e-84
hc_n_chars,-0.1646474432489078,5.518486560659367e-83
hc_punct_comma_ratio,-0.16129402091650308,1.1349906695050545e-79
hc_fw_is,0.16115523298458886,1.550865289300729e-79
hc_fw_will,0.14451859796551397,3.645999220706685e-64
hc_punct_dquote_ratio,-0.14071166023591453,6.840842921243924e-61
hc_fw_be,0.13648537220523435,2.3083465977816873e-57
hc_short_word_ratio,0.12367197940777026,2.425312126721055e-47
hc_fw_would,-0.12357304652641568,2.8721783047393237e-47
hc_uppercase_ratio,-0.11639312723316277,4.249116137600656e-42
hc_punct_semicolon_ratio,-0.11334300230778119,5.3623940393554695e-40
hc_n_alpha_tokens,-0.10821575649746011,1.3606372249429038e-36
hc_pos_sym_ratio,-0.10359843533114528,1.1565956016905413e-33
hc_max_word_len,-0.10059912712367633,7.889781589325681e-32
hc_corrected_ttr,-0.09584650056869848,4.9207233301649774e-29
hc_hapax_ratio,0.08889019071242037,3.4555786028135865e-25
hc_pos_det_ratio,0.0868056015876161,4.313456759798726e-24
hc_lemma_ttr,0.07792238720304892,1.0385976501621691e-19
hc_punct_period_ratio,0.07489151992874415,2.5365713190198417e-18
hc_punct_excl_ratio,0.07315949763936175,1.4890885377543937e-17
hc_fw_has,-0.06985099667422845,3.9085234842011277e-16
hc_ttr,0.06923429880851112,7.069586825961274e-16
hc_fw_an,-0.06700097357434832,5.790973492662443e-15
hc_yule_k,-0.06572433123414262,1.8693297039730105e-14
hc_pos_cconj_ratio,0.06257821259401393,3.055373792065666e-13
hc_fw_shall,-0.06251526121055087,3.2266448503508894e-13
hc_pos_adp_ratio,0.05742992222389423,2.2166290589360357e-11
hc_fw_being,0.05735066427332283,2.3611754165045303e-11
hc_fw_are,-0.05463352862278468,1.956815780714798e-10
hc_fw_did,0.05405542468782045,3.029816910242977e-10
hc_fw_a,-0.048741934130977334,1.3670358926295006e-08
hc_fw_was,-0.042807510038905525,6.178694064246256e-07
hc_avg_word_len,-0.041179259745776256,1.6206794860197531e-06
hc_avg_lemma_len,-0.038803936396256025,6.216074821184833e-06
hc_punct_question_ratio,0.035115491627486964,4.3307373136256563e-05
hc_pos_intj_ratio,-0.03464230738008732,5.4846236620818435e-05
hc_fw_were,-0.03135117443126674,0.00026171397102601535
hc_fw_had,-0.027224012274993704,0.0015256516194130363
hc_fw_should,0.02590307642962905,0.002562120825716676
hc_fw_the,0.025072915061500955,0.003509087670487565
hc_fw_have,-0.01769231567405498,0.03942342521026499
hc_fw_does,-0.017070551164180565,0.04688437840821127
hc_fw_been,-0.012218369334698137,0.15490883287111232
hc_punct_apos_ratio,0.012164436047629604,0.15673877443253373
hc_pos_adj_ratio,-0.009204491440110745,0.2839330212969096
hc_n_sentences,0.009107478208775293,0.2890391510187824
hc_mtld,-0.008993486451849726,0.29511751305444794
